SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
543216,EBBETF0431  ,F ,Q,1142.5,1142.5,1141.15,1142,1142,1142.88,15,799,912505,
543217,MINDSPACE   ,IF,Q,313.3,324.87,313.3,323.99,323.68,323.83,185,3280,1063193,
543218,SBGLP       ,B ,Q,212.1,215,205.5,208.85,210.25,206.25,211,30084,6303808,
543219,ICICIALPLV  ,B ,Q,182.88,184.1,182.2,183.79,183.18,182.88,43,604,110510,
543220,MAXHEALTH   ,A ,Q,501.95,524.4,496,519.85,519.85,499.7,2593,56307,28811432,
543221,ICICITECH   ,B ,Q,29.26,29.51,29.23,29.37,29.36,29.23,191,38053,1117361,
543223,MAXINDIA    ,B ,Q,93.7,98.87,91.93,96.76,96.8,93.99,330,15758,1531077,
543224,HBANKETF    ,B ,Q,440.25,444.6,440.25,444.07,444.6,440.25,86,2686,1191531,
543226,UTIBANKETF  ,B ,Q,44.24,44.5,43.93,44.32,44.46,44.24,71,3769,167004,
543227,HAPPSTMNDS  ,A ,Q,854,869.9,853.05,864.5,864.5,855.5,1153,14476,12518391,
543228,ROUTE       ,A ,Q,1309.95,1379.05,1299.15,1365.05,1370,1300.95,2094,320971,437944624,
543229,SAMRATFORG  ,X ,Q,155.05,164.5,155.05,162,162,169.9,23,340,53882,
543230,ADVAIT      ,M ,Q,288.3,293.4,284.95,293.4,293.4,299.9,7,3500,1005225,
543231,ADL         ,T ,Q,73.8,73.8,67.6,68.89,67.78,70.29,8,1370,96415,
543232,CAMS        ,A ,Q,2050.05,2070,2050.05,2066.35,2070,2057.5,560,2808,5784514,
543233,CHEMCON     ,B ,Q,274.55,275.75,268.05,272.3,272.3,275.85,452,6268,1707674,
543234,SECMARK     ,M ,Q,106.4,106.4,96,96,96,92.5,4,5000,496125,
543235,ANGELONE    ,A ,Q,1305.05,1322.15,1304,1306.55,1308.65,1319.65,679,7257,9515097,
543236,ATAM        ,B ,Q,241.85,252.25,223.85,238.05,238.05,240.3,1158,10831,2560929,
543237,MAZDOCK     ,A ,Q,756.65,760.75,749,753.75,753,749.6,1578,44694,33753120,
543238,UTIAMC      ,A ,Q,653.3,655.95,647.25,653.3,654.4,652.6,461,3879,2531767,
543239,GMPL        ,M ,Q,121,121,120.65,120.65,120.65,127,3,4200,507640,
543240,LIKHITHA    ,B ,Q,299,300.95,270.05,278.3,278.3,300.45,6029,188776,53619498,
543241,VGIL        ,M ,Q,150,150,149.95,149.95,149.95,138,2,1100,164972,
543242,HEMIPROP    ,A ,Q,92,97.51,91.85,95.97,96.1,92.32,1718,109756,10444588,
543243,EQUITASBNK  ,A ,Q,78.1,78.1,74.89,76.78,77.01,77.18,1317,230976,17639993,
543245,GLAND       ,A ,Q,1379.95,1379.95,1355.95,1369.7,1370.1,1360.85,1197,10119,13833054,
543246,MAESGETF    ,B ,Q,29.69,29.99,29.69,29.8,29.8,30,28,1130,33588,
543248,RBA         ,A ,Q,104.8,105.45,103.1,103.85,104.1,104.75,515,32277,3369936,
543249,TARC        ,B ,Q,50.89,52.4,49.7,52.03,52.03,50.3,1555,160968,8283086,
543250,MOGSEC      ,F ,Q,51.96,52.02,51.94,51.96,51.96,51.94,8,169,8781,
543251,RVHL        ,B ,Q,26.59,28.5,25.5,26.41,26.53,26.77,868,168373,4586229,
543252,FAIRCHEMOR  ,B ,Q,1255,1255.05,1200.15,1210.6,1210.2,1251.45,224,712,877230,
543253,BECTORFOOD  ,B ,Q,615.05,646.45,615.05,633.9,631.4,625.05,1039,8710,5544656,
543254,AWHCL       ,B ,Q,276.8,280.05,273.75,276.75,276.35,275.6,141,2262,627337,
543255,INFRABEES   ,B ,Q,559.13,565.83,556.1,563.31,565.8,561.17,85,906,510151,
543256,RFLL        ,XT,Q,27.61,27.61,27.61,27.61,27.61,26.3,8,7298,201497,
543257,IRFC        ,A ,Q,33.56,33.95,33.1,33.45,33.45,33.33,6897,4001171,134092451,
543258,INDIGOPNTS  ,A ,Q,1318,1346.35,1304.45,1332.7,1332.7,1301.25,2699,23120,30768194,
543259,HOMEFIRST   ,A ,Q,711,711,685.9,693.75,693.75,725.2,3123,125590,87968910,
543260,STOVEKRAFT  ,A ,Q,440,443,436,437.8,437.55,440,517,13963,6145266,
543261,BIRET       ,IF,Q,270,272.12,270,270.57,270.94,270.45,415,7108,1925994,
543263,SMCGLOBAL   ,B ,Q,74.25,75.79,74.25,74.98,74.99,74.98,269,6385,477760,
543264,NURECA      ,B ,Q,332.15,338,331.7,334.5,333.6,332.5,348,3567,1197107,
